sq_candidato,link,tse_uf,tse_nome_urna,tse_n_urna,tse_cargo,tse_partido,resultado,numero_votos
80001611188,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/ES/80001611188,ES,SANDRINHA OLIVEIRA JUNTAS,50013,DEPUTADO ESTADUAL,PSOL,SUPLENTE,451
80001611205,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/ES/80001611205,ES,MONICA ALVES,50010,DEPUTADO ESTADUAL,PSOL,SUPLENTE,581
80001720047,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/ES/80001720047,ES,WALDIR PIRES,12096,DEPUTADO ESTADUAL,PDT,SUPLENTE,303
90001648108,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/GO/90001648108,GO,ARIEL LUZ,1330,DEPUTADO FEDERAL,PT,SUPLENTE,2021
90001675421,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/GO/90001675421,GO,ARTHUR RAMOS,2121,DEPUTADO FEDERAL,PCB,NÃO ELEITO,959
90001675308,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/GO/90001675308,GO,BARBARA BOMBOM,50024,DEPUTADO ESTADUAL,PSOL,NÃO ELEITO,1150
90001649529,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/GO/90001649529,GO,FABRÍCIO ROSA,13200,DEPUTADO ESTADUAL,PT,SUPLENTE,20432
90001614061,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/GO/90001614061,GO,ILLANA MATTOS,2034,DEPUTADO FEDERAL,PSC,SUPLENTE,363
90001648118,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/GO/90001648118,GO,ISABEL CRISTINE,1307,DEPUTADO FEDERAL,PT,SUPLENTE,898
90001647438,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/GO/90001647438,GO,JÚNIOR PINHEIRO,45745,DEPUTADO ESTADUAL,PSDB,SUPLENTE,273
90001621635,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/GO/90001621635,GO,MATHEUS RIBEIRO,4555,DEPUTADO FEDERAL,PSDB,SUPLENTE,46961
90001675162,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/GO/90001675162,GO,MARCO AURELIO,5024,DEPUTADO FEDERAL,PSOL,NÃO ELEITO,265
90001647407,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/GO/90001647407,GO,MARCELO GOMES,45700,DEPUTADO ESTADUAL,PSDB,SUPLENTE,136
90001732912,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/GO/90001732912,GO,WANESSA BELTRÃO,13444,DEPUTADO ESTADUAL,PT,SUPLENTE,374
100001613727,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MA/100001613727,MA,PAULO ROMÃO,13613,DEPUTADO ESTADUAL,PT,SUPLENTE,749
100001601133,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MA/100001601133,MA,RAISSA MENDONÇA,1277,DEPUTADO FEDERAL,PDT,SUPLENTE,2047
100001713953,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MA/100001713953,MA,CADU MARQUES,50513,DEPUTADO ESTADUAL,PSOL,NÃO ELEITO,1417
100001613737,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MA/100001613737,MA,CHICO COLETIVO GUARNICÊ,13400,DEPUTADO ESTADUAL,PT,SUPLENTE,14296
100001607066,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MA/100001607066,MA,PROF ADROALDO COLETIVO VAMOS,40100,DEPUTADO ESTADUAL,PSB,SUPLENTE,2046
130001615236,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001615236,MG,ALAN RODRIGUES,50777,DEPUTADO ESTADUAL,PSOL,SUPLENTE,1068
130001607245,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001607245,MG,CRISTINA DEL PAPA,1317,DEPUTADO FEDERAL,PT,SUPLENTE,4763
