"OBS: Candidaturas LGBT+ ao Legislativo, que disputaram as eleições de 2022, cadastradas na plataforma VoteLGBT. TOTAL = 319",,,,,,,
Link,TSE_UF,TSE NOME DE URNA,TSE N° URNA,TSE CARGO,TSE PARTIDO,RESULTADO,NÚMERO DE VOTOS
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MT/110001608772,MT, JULIAN TACANÃ ,5005,Deputado Federal,PSOL,Não eleito,759
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MT/110001655601,MT, VALKIRIA BRANDÃO ,23555,Deputado Estadual,CIDADANIA,Suplente,428
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MT/110001719788,MT, PROFA GRACIELE ,13613,Deputado Estadual,PT,Suplente,7.580
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MT/110001724934,MT, THIAGUINHO ,4040,Deputado Federal,PSB,Não eleito,1.564
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/PA/140001651017,PA, BÁRBARA PASTANA ,50024,Deputado Estadual,PSOL,Suplente,992
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/PA/140001676602,PA, BIA CAMINHA ,13613,Deputado Estadual,PT,Suplente,16.232
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/PA/140001621063,PA, ENDELL MENEZES ,12001,Deputado Estadual,PDT,Suplente,2.403
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/PA/140001676615,PA, JADE LEÃO ,13310,Deputado Estadual,PT,Suplente,6.551
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/PA/140001651020,PA, MADALENA DANI TODAS AS VOZES ,50777,Deputado Estadual,PSOL,Suplente,1.682
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/PA/140001650331,PA,VIVI REIS ,5000,Deputado Federal,PSOL,Não eleito,53.353
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/PA/140001620898,PA,PROFESSOR EDSON JUNIOR,1369,Deputado Federal,PT,Suplente,3.105
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/PA/140001676892,PA,DIVERSIDADE E INCLUSÃO IRNA,15016,Deputado Estadual,MDB,Suplente,1.865
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/PB/150001621663,PB, ALEXANDRE KENNEDY ,40555,Deputado Estadual,PSB,Suplente,873
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/PB/150001619530,PB, ESTELA BEZERRA ,1313,Deputado Federal,PT,Suplente,44.788
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/PB/150001621573,PB," JOSI ""É NOIS A MUDANÇA"" ",50055,Deputado Estadual,PSOL,Suplente,1.285
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/PB/150001643183,PB, PROFESSORA ANA CÉLIA ,13111,Deputado Estadual,PT,Suplente,1.684
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/PB/150001621383,PB,NICOLE D'LAMARCK,45321,Deputado Estadual,PSDB,Suplente,360
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/PE/170001618407,PE, ALEXANDRE PIRES ,50013,Deputado Estadual,PSOL,Suplente,4.684
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/PE/170001619589,PE, DÉBORA PRETAS JUNTAS ,1850,Deputado Federal,REDE,Suplente,1.439
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/PE/170001618396,PE, MÃE ANDREIA DA DIVERSAS ,50300,Deputado Estadual,PSOL,Suplente,615
